name,description
Bombolini,"Sweet ricotta fritters glazed with honey and black truffle salt"
White Chocolate Cake,"Caramelized white chocolate cake with caramel semifreddo and pineapple sorbetto"
Olive Oil Cake,"Olive oil cake with lemon cream brulée, house raspberry jam and crème fraîche"
Sweet potato crespelle,"Sweet potato crespelle with spicy dark chocolate genache, pistachio gelato, and sweet potato chips"
Winter ale gelato,"Winter ale gelato with candied kumquat panforte and citrus sorbetto"
