name,description
Tagliatelle,Tagliatelle with Painted Hills beef short rib ragu with horseradish gremolata
Squid Ink Spaghetti,"Squid ink spaghetti with calamari, Italian fish sauce, preserved lemon, basil and chilies"
“Doppio” dual stuffed ravioli,"“Doppio” dual stuffed ravioli, with mixed mushrooms, and spring garlic, tossed in butter and wood sorrel"
Nettle Gnocchi,"Nettle Gnocchi with house cured pancetta jam and nettle butter"
