name
Seasonal Bruschetta
Housemade Potato chips with Italian herb salt
Negroni glazed Hazelnuts
Marinated Olives
Market Fritters
Chicken meatballs with back cherry marinara
Prosciutto wrapped asparagus with cittonette
Spring onion and asparagus frittata squares
Rosemary beef tenderloin skewers
"Bresole, stuffed skirt steak in tomato sauce"
