name,description
'PioTosini' Prosciutto di Parma,"'PioTosini' Prosciutto di Parma—aged for 14 months—with marinated"
Salame,"our nightly selection with mango mostarda"
Caesar Salad,"Our favorite Caesar salad with lime and parmigiano reggiano"
Chicory salad,"Chicory salad with rice beans, Italian tuna, spring onions, pine-nuts and herbed pinot grigio vinaigrette"
Antipasto misto,"A selection of the four house appetizers"
Arugula salad,"Arugula salad with finocchiona salami, shaved fennel, sorrel, and pollen maionese"
Stuffed Artichokes,"Grandma Anita's stuffed artichokes with breadcrumb, garlic, parsley, and parmigiano reggiano"
