name,price,description
Tagliatelle,18,Tagliatelle with Painted Hills beef short rib ragu with horseradish gremolata
Squid Ink Spaghetti,16,"Squid ink spaghetti with calamari, Italian fish sauce, preserved lemon, basil and chilies"
“Doppio” dual stuffed ravioli,20,"“Doppio” dual stuffed ravioli, with mixed mushrooms, and spring garlic, tossed in butter and wood sorrel"
Nettle Gnocchi,18,"Nettle Gnocchi with house cured pancetta jam and nettle butter"
